CODIGO,DESCRIPCION,SIMBOLO
0,SIN UNIDAD,S/U
1,KILOGRAMO,Kg
2,LITROS,L
3,CADA UNO,C/U
4,METRO,m
5,METRO CUADRADO,m2
6,METRO CUBICO,m3
7,GRAMO,GR
8,MILILITRO,ml
9,JUEGO,Jgo
10,GRADO,°
11,PULGADA,""""
12,MILIMETRO,MM
14,CENTIMETRO,Cm
15,PORCENTAJE,%
16,NANOMETRO,Nm
18,CALORIA,Cal
19,DECIMETROS CUBICOS,dm3
21,FRIGORIA,Frig
22,TONELADA,Ton
26,REVOL. POR MIN,RPM
28,AMPER,A
29,MICRON,Mn
31,VOLT,V
32,LIBRA,Lb
33,WATT,W
34,KILOWATT,KW
35,KILOVOLTAMPERE,KVA
37,VOLT AMPERE,VA
38,MILIWATT,mW
39,GRADO CENTIGRADO,°C
40,MEGAHERTZ,MHZ
42,MILIMETRO CUADRADO,mm2
43,DECIBEL,db
44,HORA,Hs.
45,KILOGRAMOS/CENTIMETRO CUBICO,Kg/cm3
46,KILOGRAMOS/CENTIMETRO CUADRADO,Kg/cm2
50,BAUDIO,bps
51,BAR,Bar
52,GIGAHERTZ,GHZ
54,PERSONAS,Pers
56,GIGABYTE,Gb
57,KILOBYTE,Kb
58,VECES/MINUTO,V/m
63,BITS,bits
64,SEGUNDO,Seg
67,AMPERES/HORA,A/H
68,MILIAMPERES/HORA,mA/H
70,MILIGRAMO,mg
71,KILOCALORIAS/HORA,Kcal/H
72,PICOFARADIO,PF
79,MICROAMPERES,MicA
82,CARRERA/MIN,Ca/min
84,CABALLO DE VAPOR,CV
86,LIBRAS/PULGADA CUADRADA,PSI
89,PUNTOS/PULGADA,DPI
90,MILIVOLT,mV
91,KILOGRAMOS/CENTIMETRO,Kg/cm
92,MEGAOHM,MOhm
94,MEGAAMPERE,MA
95,MEGABYTE/SEGUNDO,Mb/seg
96,PARTES POR MILLON,ppm
101,MILISEGUNDO,ms
104,KILOGRAMO/METROCUBICO,Kg/m3
105,PIE,ft
108,KILOCALORIAS/KILOGRAMO,KCAL/Kg
109,MEGABYTE,MB
112,POR MES,x mes
113,POR AÑO,x año
115,GRAMO/CENTIMETRO CUADRADO,Gr/Cm2
116,HOJAS,HOJAS
119,CARACTERES/SEGUNDO,CPS
120,PUNTOS,PTOS
121,CUADROS POR SEGUNDO,CUADRO/S
123,BLOCKS,BLOCKS
124,DIA,DIA
125,MES,MES
126,AÑO,AÑO
128,SEMANA,SEMANA
130,PALABRAS,PALABRAS
132,COLUMNAS,COL
133,LINEAS/SEGUNDOS,L/S
134,GLICEROL,GLIC
136,POR SERVICIOS,P/SERV
137,PAGINAS,PAG
139,WATT X CANAL,W/C
140,COPIAS POR MINUTO,CPM
156,CENTIMETROS CUBICOS,CM3
143,SOBRES,SOBRES
145,GRADO/CENTIMETRO CUBICO,GRADO/CM3
146,PAR,PAR
159,CENTIMETRO CUADRADOS,CM2
151,UNIDAD,UN
161,KILOGRAMO/METRO CUADRADO,kg/m2
153,MINUTO,min
162,KILOVATIOS,KV
163,CABALLO DE FUERZA,HP
167,MILLON,m
168,MEGABYTE/MINUTO,MB/MINUTO
169,COPIAS POR MES,COPIAS/MES
170,COPIA,Copia
210,PAQUETE,PAQ.
173,VOLT CORRIENTE ALTERNA,vac
211,BOBINA,BOB
176,SERVICIO,SERV
180,CAJA,Caja
178,KILOMETRO,KM
179,GIGABYTE/SEGUNDO,Gbps
212,BOLSA,BOL
182,KILOGRAMO/METRO,kg/m
208,ROLLO,RL
204,PACK,Pack
209,DOCENA,DN
213,TAMBOR,TAM
187,MILIGRAMO/MILILITRO,MG/ML
188,METRO LINEAL,Ml
189,MILIAMPERE,mA
190,KILOAMPERE,kA
200,PIEZA,PIE
192,MICROLITRO,Ml
194,CALORIA / HORA,cal/h
195,NEWTON,n
196,METRO CUADRADO/HORA,M2/H
198,KILOGRAMO/MINUTO,kg/min
199,UNIDAD DE MEDIDA DE PRUEBA,UMDP
201,KILOCALORIAS,kcal
202,CANDELAS,candelas
203,TESLA,t
205,MILIBAR,mb
206,ATMOSFERA CM3/SEG,ATM CC/S
207,RESMA,RESMA
