JURISDICCION,DENOMINACION,SELECCIONABLE,VIGENTE_DESDE,VIGENTE_HASTA
1000000000,Sector Publico Municipal No Financiero,N,,
1100000000,Administración Municipal,N,,
1110000000,Administración Central,N,,
1110100000,Departamento Ejecutivo,N,,
1110200000,H.C.D.,S,,
1120000000,Organismos Descentralizados,N,,
1130000000,Instituciones de seguridad Social,N,,
1200000000,Empresas y Sociedades del estado Municipal,N,,
2000000000,Sector Público Municipal Financiero,N,,
1110101000,Intendencia,S,,
1110102000,Secretaria de Gobierno,S,,
1110103000,Secretaria de Obras y Servicios Publicos,S,,
1110104000,Secretaria de Salud,S,,
1110105000,Secretaría de Cultura y Educación,S,,
1110106000,Secretaría de Desarrollo Social,S,,
1110107000,Servicios de la deuda,S,,
1110108000,Secretaria de Producción,S,,
1110109000,Secretaria de Deportes,S,,
1110110000,Dirección de Turismo,S,,2016
1110111000,Sec. de Obras y Serv. Publicos (CASER),S,,
1110112000,Secretaria de Hacienda,S,2007,
1110113000,Sec. de Políticas de Prevención de la Seguridad,S,2007,
1110114000,Delegado Municipal,S,2007,
1110115000,Secretaria de Coordinación,S,2009,
1110116000,Secretaria de Espacios Publicos y Medio Ambiente,S,2016,
1110117000,"Secretaria Legal, Tecnica y Administrativa",S,2016,
1110118000,Secretaria de Servicios Generales y Mantenimiento,S,2016,
