SEC_MOV_PAG_EX,EJERCICIO,FECH_MOV,JURISDICCION,CODIGO_UE,CODIGO_AXT,NRO_OP,COD_PROV,IMPORTE,NRO_REINT,NRO_REGUL,NRO_OPEA
18587,2026,2026-03-03 00:00:00,1110102000,2,74001,1147,50053,10659573.37,,,
18588,2026,2026-03-03 00:00:00,1110107000,2,74023,1144,50053,638961.67,,,
18565,2026,2026-02-05 00:00:00,1110102000,2,71001,563,1547,30000.0,,,
18566,2026,2026-02-05 00:00:00,1110102000,2,74001,567,2784,2218906.68,,,
18567,2026,2026-02-05 00:00:00,1110102000,2,74023,570,50053,293637.07,,,
18568,2026,2026-02-05 00:00:00,1110102000,2,74001,569,50053,16278265.07,,,
18577,2026,2026-02-23 00:00:00,1110105000,6,71018,791,50496,57371.55,,,
18578,2026,2026-02-23 00:00:00,1110102000,2,71001,54,2425,21000.0,,,
18579,2026,2026-02-23 00:00:00,1110102000,2,71001,78,1090,7445.0,,,
18580,2026,2026-02-23 00:00:00,1110102000,2,71001,87,1228,17650.0,,,
18586,2026,2026-03-03 00:00:00,1110105000,6,71018,1152,51082,10113.74,,,
18589,2026,2026-03-03 00:00:00,1110102000,2,74010,1128,50058,4399987.91,,,
18590,2026,2026-03-03 00:00:00,1110102000,2,74017,1131,50062,32.81,,,
18591,2026,2026-03-03 00:00:00,1110102000,2,74021,1135,50084,82318.77,,,
18592,2026,2026-03-03 00:00:00,1110102000,2,74888,1123,50010,168750.0,,,
18593,2026,2026-03-03 00:00:00,1110102000,2,74011,1130,50059,1704210.86,,,
18594,2026,2026-03-03 00:00:00,1110102000,2,74020,1132,50064,984429.65,,,
18595,2026,2026-03-03 00:00:00,1110102000,2,74019,1133,50065,993565.3,,,
18596,2026,2026-03-03 00:00:00,1110102000,2,74027,1136,50465,1057392.37,,,
18597,2026,2026-03-03 00:00:00,1110102000,2,74009,1125,50056,18759717.93,,,
18598,2026,2026-03-03 00:00:00,1110102000,2,74015,1122,707,6450872.74,,,
18600,2026,2026-03-09 00:00:00,1110102000,2,71018,1218,50551,8057.51,,,
18601,2026,2026-03-09 00:00:00,1110102000,2,71018,1185,50053,36901.26,,,
18602,2026,2026-03-09 00:00:00,1110102000,2,71018,1232,50553,23720.49,,,
18571,2026,2026-02-06 00:00:00,1110102000,2,74004,571,50074,1930755.1,,,
18583,2026,2026-03-02 00:00:00,1110105000,6,71018,1118,50575,16072.89,,,
18584,2026,2026-03-02 00:00:00,1110105000,6,71018,1117,50553,75773.88,,,
18585,2026,2026-03-02 00:00:00,1110105000,6,71022,1145,51095,3000000.0,,,
18599,2026,2026-03-04 00:00:00,1110102000,2,74010,,50058,-347451.79,3,,
18574,2026,2026-02-20 00:00:00,1110102000,2,71001,69,2183,162.7,,,
18575,2026,2026-02-20 00:00:00,1110102000,2,71001,95,1483,3750.0,,,
18576,2026,2026-02-20 00:00:00,1110102000,2,71001,63,592,30399.5,,,
18603,2026,2026-03-16 00:00:00,1110102000,2,74013,1134,50066,1270552.92,,,
18604,2026,2026-03-16 00:00:00,1110117000,24,72002,1413,2482,2017540.0,,,
18564,2026,2026-02-04 00:00:00,1110102000,2,71018,529,50553,68635.7,,,
18569,2026,2026-02-06 00:00:00,1110104000,11,74008,581,50054,502740.0,,,
18570,2026,2026-02-06 00:00:00,1110104000,11,74008,582,50054,583829.0,,,
18573,2026,2026-02-12 00:00:00,1110102000,2,71018,647,50496,102664.86,,,
18572,2026,2026-02-10 00:00:00,1110102000,2,71018,600,50553,24708.85,,,
18581,2026,2026-03-02 00:00:00,1110102000,2,74003,1129,50057,6925715.38,,,
18582,2026,2026-03-02 00:00:00,1110112000,19,74003,1121,50057,362683.02,,,
