USUARIO,JURISDICCION
ALOPEZ,1110108000
BCEMBORAIN,1110103000
BCEMBORAIN,1110108000
BCEMBORAIN,1110116000
BCEMBORAIN,1110118000
CESCOBAR,1110103000
CESCOBAR,1110116000
CESCOBAR,1110118000
GMANSILLA,1110103000
GMANSILLA,1110116000
GMANSILLA,1110118000
JCABANILLAS,1110109000
JTEVEZ,1110109000
JVOLPATTI,1110108000
LCATALDO,1110103000
LCATALDO,1110116000
LCATALDO,1110118000
MABAD,1110104000
MTETAZ,1110104000
MTORTORA,1110116000
MTORTORA,1110118000
SOUVIÑA,1110109000
VGABILONDO,1110109000
ZBUSTAMANTE,1110113000
